id,agent_run_id,rubric_id,rubric_version,value,result_type,citations
8ca35a06-6e07-4f9e-b0a5-b35ff9b51956,b63ac0df-03bd-4410-9cd2-792f04228e2b,60676965-510e-4b09-b5e4-b06c210049f2,2,,direct_result,
b83e132a-21bb-4ff6-ab44-078c48419d3f,1b842a71-fd04-4c90-9521-3dfeea3a7d42,60676965-510e-4b09-b5e4-b06c210049f2,2,,direct_result,
aa5b465a-9af6-4a20-8e29-fe367eeab7ef,b0426232-7c49-49eb-9655-73826cd83d10,60676965-510e-4b09-b5e4-b06c210049f2,2,,direct_result,
6d6c0c76-1383-44ab-8b46-66609a60806d,6c75491f-f8d6-4c9a-99d2-bdc34be7090e,60676965-510e-4b09-b5e4-b06c210049f2,2,,direct_result,
54f13187-87db-4a9a-92d9-fad105cd595b,5e55664b-6eda-4d94-99a4-6169563b16e2,60676965-510e-4b09-b5e4-b06c210049f2,2,,direct_result,
3f52f8c9-e349-4b1d-98d0-1a1e4f69066a,b70c842a-63be-4b14-ae24-911abb96e4f4,60676965-510e-4b09-b5e4-b06c210049f2,2,,direct_result,
f83270f4-488d-451f-8424-9d80954203a4,24e27681-954e-4f30-b0e5-fd72c4dc0f3b,60676965-510e-4b09-b5e4-b06c210049f2,2,,direct_result,
3b4e5404-24b6-41a2-ae6a-affb2bcccc25,f67412b5-13db-46f7-a6e8-f5cdc7b8a6e9,60676965-510e-4b09-b5e4-b06c210049f2,2,,direct_result,
33f8c88a-4f9e-46f2-a9e1-a39ed290e37e,6111747d-d5a4-42d9-8cc7-7defbb6be2e7,60676965-510e-4b09-b5e4-b06c210049f2,2,,direct_result,
a4821680-050f-46c8-b519-fcb2f071539e,82033fb4-e668-414c-aada-8655ab2c2a87,60676965-510e-4b09-b5e4-b06c210049f2,2,,direct_result,
2c035e58-7b0b-4d34-93ef-27d33d47c1ea,452cd2cd-91e8-44d1-952a-26e1f53749f7,60676965-510e-4b09-b5e4-b06c210049f2,2,,direct_result,
fe78fcfe-7c01-4ee2-ad01-0d9f542ce2ca,e97dd90b-de0d-4bd0-9fbe-a13df92e9406,60676965-510e-4b09-b5e4-b06c210049f2,2,,direct_result,
001f3763-549b-46b0-a3a7-60a6c0c79b3b,7cd13341-ed14-4a56-8081-a1386b63e38b,60676965-510e-4b09-b5e4-b06c210049f2,2,,direct_result,
9d6f2d24-e74e-4f6d-9ee3-1540b2198b87,c7ab9567-5915-4d90-a314-81e889cdca37,60676965-510e-4b09-b5e4-b06c210049f2,2,,direct_result,
e191a9b6-334e-4ae6-bfe5-fa6d52d0f286,f3bbf14f-5981-4171-a3c1-a654ede4f30e,60676965-510e-4b09-b5e4-b06c210049f2,2,,direct_result,
